('69-348', '1923:265'),
('75-896', '1918:74'),
('75-896', '1931:411'),
('75-896', '1934:847'),
('75-896', '1935:531'),
('77-95', '1940:396'),
('79-173', '1917:56'),
('79-173', '1930:497'),
('79-173', '1933:38'),
('80-334', '1923:265'),
('80-334', '1935:85'),
('80-334', '1939:190'),
('80-334', '1946:753'),
('82-10', '1941:553'),
('82-101', '1924:320'),
('82-104', '1940:757'),
('82-106', '1916:241'),
('82-106', '1938:328'),
('82-106', '1944:300'),
('82-106', '1946:544'),
('82-106', '1947:324'),
('82-106', '1949:782'),
('82-106', '1950:467'),
('82-107', '1934:847'),
('82-109', '1930:497'),
('82-11', '1950:1052'),
('82-110', '1914:311'),
('82-110', '1930:497'),
('82-111', '1909:100'),
('82-111', '1917:56'),
('82-111', '1934:6'),
('82-111', '1934:674'),
('82-111', '1935:740'),
('82-111', '1942:720'),
('82-111', '1945:557'),
('82-111', '1949:299'),
('82-111', '1950:896'),
('82-113', '1949:782'),
('82-113', '1949:792'),
('82-114', '1940:876'),
('82-12', '1917:56'),
('82-12', '1939:2'),
('82-123', '1937:517'),
('82-124', '1939:2'),
('82-131', '1942:166'),
('82-134', '1916:458'),
('82-134', '1920:219'),
('82-134', '1923:262'),
('82-134', '1926:347'),
('82-134', '1927:155'),
('82-134', '1927:489'),
('82-134', '1934:868'),
('82-134', '1935:531'),
('82-134', '1936:541'),
('82-134', '1938:675'),
('82-134', '1938:676'),
('82-134', '1940:689'),
('82-134', '1940:720'),
('82-134', '1941:362'),
('82-134', '1944:268'),
('82-134', '1944:373'),
('82-134', '1945:212'),
('82-134', '1946:672'),
('82-134', '1948:270'),
('82-134', '1948:481'),
('82-134', '1948:625'),
('82-134', '1948:758'),
('82-134', '1948:826'),
('82-134', '1949:236'),
('82-134', '1949:275'),
('82-134', '1950:1052'),
('82-134', '1950:896'),
('82-135', '1905:1501'),
('82-135', '1912:308'),
('82-135', '1914:79'),
('82-135', '1915:144'),
('82-135', '1916:313'),
('82-135', '1917:56'),
('82-135', '1918:74'),
('82-135', '1921:119'),
('82-135', '1922:369'),
('82-135', '1923:217'),
('82-135', '1923:288'),
('82-135', '1928:687'),
('82-135', '1935:338'),
('82-135', '1935:85'),
('82-135', '1936:432'),
('82-135', '1937:517'),
('82-135', '1938:30'),
('82-135', '1939:190'),
('82-135', '1939:2'),
('82-135', '1939:615'),
('82-135', '1942:31'),
('82-135', '1945:557'),
('82-135', '1946:964'),
('82-135', '1947:141'),
('82-135', '1947:519'),
('82-135', '1948:471'),
('82-135', '1949:280'),
('82-135', '1949:338'),
('82-135', '1949:772'),
('82-135', '1950:896'),
('82-136', '1944:172'),
('82-136', '1944:298'),
('82-136', '1944:665'),
('82-136', '1945:557'),
('82-136', '1949:285'),
('82-136', '1949:288'),
('82-136', '1949:680'),
('82-136', '1949:694'),
('82-136', '1950:896'),
('82-136', '1950:912'),
('82-137', '1918:74'),
('82-137', '1930:497'),
('82-137', '1932:522'),
('82-137', '1934:652'),
('82-137', '1934:847'),
('82-137', '1936:858'),
('82-137', '1937:896'),
('82-137', '1940:757'),
('82-137', '1942:247'),
('82-137', '1943:145'),
('82-137', '1944:268'),
('82-137', '1945:271'),
('82-137', '1945:557'),
('82-137', '1946:324'),
('82-137', '1946:724'),
('82-137', '1947:359'),
('82-137', '1947:361'),
('82-137', '1948:647'),
('82-137', '1948:826'),
('82-137', '1949:185'),
('82-137', '1949:288'),
('82-137', '1949:338'),
('82-137', '1949:782'),
('82-137', '1950:94'),
('82-139', '1913:6'),
('82-139', '1918:74'),
('82-139', '1931:411'),
('82-139', '1932:522'),
('82-139', '1932:8'),
('82-139', '1934:847'),
('82-139', '1937:896'),
('82-139', '1940:888'),
('82-139', '1944:268'),
('82-139', '1946:724'),
('82-139', '1948:832'),
('82-139', '1949:288'),
('82-139', '1949:626'),
('82-139', '1950:932'),
('82-139', '1950:94'),
('82-140', '1939:2'),
('82-140', '1946:244'),
('82-140', '1947:519'),
('82-141', '1944:268'),
('82-142', '1944:268'),
('82-145', '1914:311'),
('82-145', '1939:2'),
('82-146', '1949:626'),
('82-150', '1947:343'),
('82-150', '1947:512'),
('82-150', '1949:681'),
('82-150', '1950:383'),
('82-150', '1950:454'),
('82-155', '1934:847'),
('82-155', '1946:324'),
('82-157', '1936:858'),
('82-159', '1930:349'),
('82-159', '1946:281'),
('82-159', '1947:208'),
('82-159', '1949:686'),
('82-159', '1949:782'),
('82-16', '1948:826'),
('82-161', '1939:2'),
('82-165', '1946:753'),
('82-165', '1947:343'),
('82-165', '1947:498'),
('82-165', '1948:169'),
('82-165', '1949:626'),
('82-165', '1949:782'),
('82-165', '1950:16'),
('82-165', '1950:220'),
('82-166', '1939:2'),
('82-168', '1895:23'),
('82-168', '1929:33'),
('82-168', '1940:437'),
('82-168', '1941:268'),
('82-168', '1945:212'),
('82-168', '1949:185'),
('82-168', '1949:694'),
('82-168', '1949:782'),
('82-168', '1949:783'),
('82-17', '1938:30'),
('82-171', '1928:42'),
('82-172', '1926:344'),
('82-172', '1938:601'),
('82-175', '1950:912'),
('82-177', '1950:912'),
('82-178', '1938:30'),
('82-179', '1944:9'),
('82-179', '1949:412'),
('82-179', '1949:782'),
('82-182', '1934:71'),
('82-183', '1933:64'),
('82-183', '1935:531'),
('82-183', '1939:2'),
('82-183', '1942:247'),
('82-183', '1946:753'),
('82-183', '1950:994'),
('82-187', '1946:870'),
('82-188', '1901:854'),
('82-188', '1921:119'),
('82-188', '1938:601'),
('82-188', '1941:474'),
('82-188', '1944:479'),
('82-188', '1945:557'),
('82-188', '1946:243'),
('82-188', '1946:251'),
('82-188', '1946:957'),
('82-188', '1947:359'),
('82-188', '1948:36'),
('82-188', '1948:400'),
('82-188', '1949:11'),
('82-188', '1949:354'),
('82-188', '1949:782'),
('82-188', '1950:405'),
